,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,ac,rain,sun,refill_liters,refill_gas
0,28.0,5.0,26,21.5,12,unknown,E10,0,0,0,45.0,E10
1,12.0,4.2,30,21.5,13,unknown,E10,0,0,0,38.0,unknown
2,11.2,5.5,38,21.5,15,unknown,E10,0,0,0,38.0,unknown
3,12.9,3.9,36,21.5,14,unknown,E10,0,0,0,38.0,unknown
4,18.5,4.5,46,21.5,15,unknown,E10,0,0,0,38.0,unknown
5,8.3,6.4,50,21.5,10,unknown,E10,0,0,0,38.0,unknown
6,7.8,4.4,43,21.5,11,unknown,E10,0,0,0,38.0,unknown
7,12.3,5.0,40,21.5,6,unknown,E10,0,0,0,38.0,unknown
8,4.9,6.4,26,21.5,4,unknown,E10,0,0,0,38.0,unknown
9,11.9,5.3,30,21.5,9,unknown,E10,0,0,0,38.0,unknown
10,12.4,5.6,42,21.5,4,unknown,E10,0,0,0,38.0,unknown
11,11.8,4.6,38,21.5,0,unknown,E10,0,0,0,38.0,unknown
12,12.3,5.9,59,21.5,10,unknown,E10,0,0,0,38.0,unknown
13,24.7,5.1,58,21.5,12,unknown,E10,0,0,0,38.0,unknown
14,12.4,4.7,46,21.5,11,unknown,E10,0,0,0,38.0,unknown
15,17.3,5.1,24,21.5,5,unknown,E10,0,0,0,38.0,unknown
16,33.4,5.6,36,21.5,3,unknown,E10,0,0,0,38.0,unknown
17,11.8,5.1,32,21.5,3,unknown,E10,0,0,0,38.0,unknown
18,25.9,4.9,39,21.5,8,unknown,E10,0,0,0,38.0,unknown
19,11.8,4.7,40,21.5,4,unknown,E10,0,0,0,38.0,unknown
20,25.3,5.5,32,21.5,3,unknown,E10,0,0,0,38.0,unknown
21,14.2,5.9,38,21.5,1,unknown,E10,0,0,0,38.0,unknown
22,17.9,5.7,37,21.5,1,unknown,E10,0,0,0,38.0,unknown
23,11.8,4.7,36,21.5,1,unknown,E10,0,0,0,38.0,unknown
24,12.3,5.9,62,21.5,6,unknown,E10,0,0,0,38.0,unknown
25,12.4,4.1,57,21.5,9,unknown,E10,0,0,0,38.0,unknown
26,18.4,5.7,21,22.5,2,unknown,E10,0,0,0,38.0,unknown
27,18.4,5.8,28,21.5,3,unknown,E10,0,0,0,38.0,unknown
28,18.3,5.5,29,21.5,1,unknown,E10,0,0,0,38.0,unknown
29,18.4,5.7,35,21.5,4,unknown,E10,0,0,0,38.0,unknown
30,12.3,5.3,51,21.5,11,unknown,E10,0,0,0,38.0,unknown
31,11.8,5.0,29,21.5,10,unknown,E10,0,0,0,38.0,unknown
32,12.3,5.6,58,21.5,8,unknown,E10,0,0,0,38.0,unknown
33,32.6,4.8,40,21.5,7,unknown,E10,0,0,0,38.0,unknown
34,19.0,4.3,36,21.5,7,unknown,E10,0,0,0,38.0,unknown
35,12.1,5.7,36,21.5,8,unknown,E10,0,0,0,38.0,unknown
36,20.0,5.2,37,21.5,4,unknown,E10,0,0,0,38.0,unknown
37,4.9,7.4,26,21.5,6,unknown,E10,0,0,0,38.0,unknown
38,11.8,4.8,23,21.5,9,unknown,E10,0,0,0,38.0,unknown
39,12.3,6.5,58,21.5,7,unknown,E10,0,0,0,38.0,unknown
40,12.4,4.0,55,21.5,7,ac rain,E10,1,1,0,38.0,unknown
41,4.5,5.0,29,21.5,7,ac,E10,1,0,0,38.0,unknown
42,11.7,4.6,37,21.5,6,unknown,E10,0,0,0,38.0,unknown
43,10.2,4.3,44,21.5,7,unknown,E10,0,0,0,38.0,unknown
44,5.4,3.3,32,21.5,7,unknown,SP98,0,0,0,37.6,SP98
45,2.0,9.9,21,21.5,4,unknown,SP98,0,0,0,38.0,unknown
46,14.2,5.1,32,21.5,7,unknown,SP98,0,0,0,38.0,unknown
47,16.0,4.9,25,21.5,8,unknown,SP98,0,0,0,38.0,unknown
48,11.8,4.9,25,21.5,11,unknown,SP98,0,0,0,38.0,unknown
49,27.3,4.7,36,21.5,10,unknown,SP98,0,0,0,38.0,unknown
50,11.8,5.1,29,21.5,5,rain,SP98,0,1,0,38.0,unknown
51,10.6,4.9,63,21.5,6,unknown,SP98,0,0,0,38.0,unknown
52,11.6,4.2,61,21.5,7,unknown,SP98,0,0,0,38.0,unknown
53,13.1,6.1,46,21.5,6,rain,SP98,0,1,0,38.0,unknown
54,6.1,6.4,28,21.5,8,unknown,SP98,0,0,0,38.0,unknown
55,153.5,4.9,82,21.5,3,rain,SP98,0,1,0,38.0,unknown
56,11.8,4.9,24,21.5,7,unknown,SP98,0,0,0,38.0,unknown
57,12.3,6.2,61,21.5,8,unknown,SP98,0,0,0,38.0,unknown
58,12.4,4.2,57,21.5,8,unknown,SP98,0,0,0,38.0,unknown
59,12.3,5.7,52,21.5,8,rain,SP98,0,1,0,38.0,unknown
60,2.9,7.9,18,21.5,9,ac rain,SP98,1,1,0,38.0,unknown
61,2.1,12.2,23,21.5,9,unknown,SP98,1,1,0,38.0,unknown
62,9.8,5.8,24,21.5,6,unknown,SP98,0,0,0,38.0,unknown
63,6.8,5.3,26,21.5,6,unknown,SP98,0,0,0,38.0,unknown
64,12.4,5.4,24,21.5,7,unknown,SP98,0,0,0,38.0,unknown
65,12.4,4.7,57,21.5,8,unknown,SP98,0,0,0,38.0,unknown
66,11.8,4.6,41,21.5,6,unknown,SP98,0,0,0,38.0,unknown
67,12.3,5.4,55,21.5,8,unknown,SP98,0,0,0,38.0,unknown
68,14.0,4.3,40,21.5,8,unknown,SP98,0,0,0,38.0,unknown
69,11.8,4.5,37,21.5,4,ac,SP98,1,0,0,38.0,unknown
70,12.3,5.2,55,21.5,12,unknown,SP98,0,0,0,38.0,unknown
71,2.0,6.2,20,21.5,10,unknown,SP98,0,0,0,38.0,unknown
72,13.9,5.1,29,21.5,6,unknown,SP98,0,0,0,38.0,unknown
73,9.7,3.9,42,21.5,8,unknown,SP98,0,0,0,38.0,unknown
74,11.6,5.0,25,21.5,6,unknown,SP98,0,0,0,38.0,unknown
75,14.2,5.4,38,21.5,7,unknown,SP98,0,0,0,38.0,unknown
76,11.8,4.5,39,21.5,6,unknown,SP98,0,0,0,38.0,unknown
77,24.8,5.1,50,21.5,9,unknown,SP98,0,0,0,38.0,unknown
78,12.4,4.7,56,21.5,7,unknown,SP98,0,0,0,38.0,unknown
